,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
k3_cosine_seed65,3,cosine,65,0.19595110149111514,1.9741923754817294,0.2806816634454443,"(np.float64(0.3453271149176408), np.float64(0.23874211474137264), np.float64(0.28230943013761034))",22484.372521065903
k4_L1_seed20,4,L1,20,0.21912005829583608,2.030911560471753,0.3046313476419654,"(np.float64(0.5330433902240568), np.float64(0.272198484034516), np.float64(0.36037272124528374))",14894.320516231357
k4_L1_seed25,4,L1,25,0.20294406534122322,2.067981162329827,0.17645522533283947,"(np.float64(0.3308677628369917), np.float64(0.16912177909170983), np.float64(0.22383246049200528))",15443.810456729621
k4_L1_seed30,4,L1,30,0.18437874403741905,2.048481012235748,0.4234830260260865,"(np.float64(0.5986219454079711), np.float64(0.35144959400583664), np.float64(0.4428833639336738))",16869.744524941954
k4_L1_seed35,4,L1,35,0.15721105258418955,2.38327002058923,0.041236867085675,"(np.float64(0.0683964120861758), np.float64(0.03728552797839335), np.float64(0.04826172447066584))",17431.537874948892
k4_L1_seed40,4,L1,40,0.22985987039563358,1.8212721278394186,0.3205380824301473,"(np.float64(0.5364944677693582), np.float64(0.2896271902577163), np.float64(0.37617555181867846))",14827.33176108427
k4_L1_seed45,4,L1,45,0.18073014948927094,2.1518955263967294,0.4083062189601347,"(np.float64(0.6104334690227976), np.float64(0.3215650864539928), np.float64(0.42123260832803927))",16286.733208576514
k4_L1_seed50,4,L1,50,0.22983475806875042,1.8210989190527953,0.3203724088366449,"(np.float64(0.5359751674635441), np.float64(0.2893578769834135), np.float64(0.3758207371352811))",14827.776117395195
k4_L1_seed55,4,L1,55,0.17750691715664957,2.1314272439642377,0.39991866862959424,"(np.float64(0.602144396505207), np.float64(0.31864226149455693), np.float64(0.41674941873178956))",16407.027476879288
k4_L1_seed60,4,L1,60,0.2298271175700172,1.8206506191214002,0.32020685630609136,"(np.float64(0.5354576948012281), np.float64(0.289089567005095), np.float64(0.375467217732373))",14828.21328405761
k4_L1_seed65,4,L1,65,0.1797697687349344,2.129611268145686,0.41046109490126054,"(np.float64(0.6131336671025628), np.float64(0.3221489598940498), np.float64(0.4223757983560419))",16318.003106685388
k4_L2_seed20,4,L2,20,0.2215046618378786,1.8506435649355713,0.3137866703623645,"(np.float64(0.661674053229123), np.float64(0.34730635737037446), np.float64(0.45551648531403593))",14527.565148819875
k4_L2_seed25,4,L2,25,0.20471827963629557,2.024857664287171,0.1892231797436361,"(np.float64(0.42901455972662006), np.float64(0.22001654242755578), np.float64(0.29086525982759104))",15163.164996028927
k4_L2_seed30,4,L2,30,0.21202872074465068,2.2053231978980916,0.35804900367124926,"(np.float64(0.689639727188276), np.float64(0.35319563017810407), np.float64(0.4671451467761129))",15080.462414832286
